,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:02:29.708806,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:02:42.855530,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:02:55.419706,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:03:11.296056,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:03:24.332159,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:03:40.228270,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:04:15.887755,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:04:30.205869,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
2024-08-13 11:04:46.843257,Alaska,3,Trump,52.8,189951,Biden,42.8,153778,99
