,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:02:29.708806,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:02:42.855530,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:02:55.419706,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:03:11.296056,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:03:24.332159,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:03:40.228270,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:04:15.887755,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:04:30.205869,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
2024-08-13 11:04:46.843257,Arkansas,6,Trump,62.4,760647,Biden,34.8,423932,99
