,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:02:29.708806,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:02:42.855530,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:02:55.419706,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:03:11.296056,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:03:24.332159,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:03:40.228270,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:04:15.887755,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:04:30.205869,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
2024-08-13 11:04:46.843257,Florida,30,Trump,51.2,5668731,Biden,47.9,5297045,99
