,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:02:29.708806,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:02:42.855530,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:02:55.419706,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:03:11.296056,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:03:24.332159,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:03:40.228270,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:04:15.887755,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:04:30.205869,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
2024-08-13 11:04:46.843257,Hawaii,4,Biden,63.7,366130,Trump,34.3,196864,99
