,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:02:29.708806,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:02:42.855530,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:02:55.419706,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:03:11.296056,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:03:24.332159,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:03:40.228270,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:04:15.887755,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:04:30.205869,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
2024-08-13 11:04:46.843257,Maine,4,Biden,53.1,435072,Trump,44.0,360737,99
