,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:02:29.708806,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:02:42.855530,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:02:55.419706,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:03:11.296056,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:03:24.332159,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:03:40.228270,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:04:15.887755,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:04:30.205869,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
2024-08-13 11:04:46.843257,New Mexico,5,Biden,54.3,501614,Trump,43.5,401894,99
