,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:02:29.708806,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:02:42.855530,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:02:55.419706,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:03:11.296056,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:03:24.332159,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:03:40.228270,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:04:15.887755,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:04:30.205869,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
2024-08-13 11:04:46.843257,North Carolina,16,Trump,49.9,2758775,Biden,48.6,2684292,99
