,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:03:15.387887,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:20.103996,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:23.057557,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:27.268221,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:31.380170,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:35.611715,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:39.683626,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:44.119191,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:48.275427,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:52.515455,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:55.536083,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:03:59.908615,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:03.992621,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:08.302148,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:11.237943,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:15.326705,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:19.705975,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:24.120584,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:27.286663,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:32.084091,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:36.085526,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:39.220210,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:42.869684,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:47.765353,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:50.811949,Trump,58.8,35557,Harris,39.2,23732,100
2024-10-07 13:04:55.476130,Trump,58.8,35557,Harris,39.2,23732,100
