,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:03:15.405879,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:20.117997,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:23.076787,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:27.281230,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:31.387971,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:35.625720,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:39.690092,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:44.123682,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:48.287740,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:52.524457,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:55.554319,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:03:59.920194,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:04.003624,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:08.303883,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:11.262084,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:15.340362,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:19.718659,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:24.130583,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:27.300676,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:32.093666,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:36.085526,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:39.241048,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:42.884962,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:47.776171,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:50.827943,Trump,66.4,18377,Harris,32.3,8943,100
2024-10-07 13:04:55.495136,Trump,66.4,18377,Harris,32.3,8943,100
