,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:03:15.460970,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:20.155438,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:23.120773,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:27.310045,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:31.413971,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:35.655910,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:39.721749,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:44.154661,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:48.320415,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:52.552294,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:55.611341,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:03:59.942276,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:04.039546,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:08.337617,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:11.313025,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:15.383707,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:19.761661,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:24.158864,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:27.325840,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:32.106152,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:36.134413,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:39.273943,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:42.926592,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:47.808560,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:50.862541,Trump,75.0,78535,Harris,23.7,24831,100
2024-10-07 13:04:55.538756,Trump,75.0,78535,Harris,23.7,24831,100
