,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:07:35.017890,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:07:46.568472,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:07:56.767286,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:08:06.547110,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:08:16.097898,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:08:26.315934,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:08:36.483365,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:08:46.882554,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:08:57.098466,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:09:08.526589,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:09:18.831601,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:09:29.649199,Harris,58.4,83686,Trump,39.6,56823,100
2024-10-07 13:09:40.017146,Harris,58.4,83686,Trump,39.6,56823,100
