,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.108507,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:17:06.575880,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:17:16.259107,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:17:25.793031,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:17:34.625736,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:17:43.857883,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:17:52.590753,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:18:01.440904,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:18:10.507515,Trump,66.4,37523,Harris,32.2,18207,100
2024-10-07 13:18:19.461231,Trump,66.4,37523,Harris,32.2,18207,100
