,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.155864,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:17:06.616923,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:17:16.290474,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:17:25.840860,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:17:34.666423,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:17:43.896829,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:17:52.608885,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:18:01.480818,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:18:10.546203,Trump,65.6,74359,Harris,33.1,37508,100
2024-10-07 13:18:19.495201,Trump,65.6,74359,Harris,33.1,37508,100
