,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.160121,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:17:06.626542,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:17:16.309338,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:17:25.855860,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:17:34.678539,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:17:43.909648,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:17:52.643542,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:18:01.493391,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:18:10.558931,Harris,51.7,40055,Trump,46.9,36372,100
2024-10-07 13:18:19.509782,Harris,51.7,40055,Trump,46.9,36372,100
