,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.181702,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:17:06.641289,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:17:16.327472,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:17:25.867862,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:17:34.694755,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:17:43.924958,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:17:52.653542,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:18:01.512055,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:18:10.569928,Trump,74.1,29203,Harris,24.5,9673,100
2024-10-07 13:18:19.522782,Trump,74.1,29203,Harris,24.5,9673,100
