,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.207705,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:17:06.667798,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:17:16.351471,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:17:25.892350,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:17:34.720756,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:17:43.952959,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:17:52.680543,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:18:01.539060,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:18:10.595250,Trump,71.8,12140,Harris,26.7,4522,100
2024-10-07 13:18:19.551784,Trump,71.8,12140,Harris,26.7,4522,100
