,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.210329,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:17:06.670798,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:17:16.354471,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:17:25.892350,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:17:34.725757,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:17:43.955959,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:17:52.684049,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:18:01.541846,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:18:10.598249,Harris,49.8,68286,Trump,48.8,66869,100
2024-10-07 13:18:19.554784,Harris,49.8,68286,Trump,48.8,66869,100
