,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.227603,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:17:06.676232,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:17:16.364050,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:17:25.907678,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:17:34.725757,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:17:43.958938,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:17:52.691051,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:18:01.541846,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:18:10.603249,Trump,71.1,1882,Harris,27.5,728,100
2024-10-07 13:18:19.564083,Trump,71.1,1882,Harris,27.5,728,100
