,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.242107,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:17:06.676232,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:17:16.364050,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:17:25.911877,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:17:34.725757,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:17:43.958938,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:17:52.699049,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:18:01.541846,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:18:10.608627,Trump,85.5,6824,Harris,13.6,1085,100
2024-10-07 13:18:19.569083,Trump,85.5,6824,Harris,13.6,1085,100
