,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.259811,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:17:06.709449,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:17:16.391411,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:17:25.942317,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:17:34.764390,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:17:43.992481,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:17:52.708794,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:18:01.582691,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:18:10.635848,Trump,57.2,160209,Harris,41.3,115847,100
2024-10-07 13:18:19.595238,Trump,57.2,160209,Harris,41.3,115847,100
