,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.289814,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:17:06.709449,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:17:16.406420,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:17:25.942317,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:17:34.773391,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:17:44.008782,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:17:52.733032,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:18:01.592325,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:18:10.641814,Harris,53.2,98288,Trump,45.6,84259,100
2024-10-07 13:18:19.603743,Harris,53.2,98288,Trump,45.6,84259,100
