,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.293088,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:17:06.733487,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:17:16.409296,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:17:25.969525,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:17:34.775625,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:17:44.008782,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:17:52.742105,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:18:01.592325,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:18:10.641814,Trump,72.3,14083,Harris,26.2,5098,100
2024-10-07 13:18:19.617161,Trump,72.3,14083,Harris,26.2,5098,100
