,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.347375,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:17:06.759475,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:17:16.441744,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:17:26.006984,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:17:34.816525,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:17:44.042220,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:17:52.772282,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:18:01.634806,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:18:10.689761,Harris,81.4,603790,Trump,17.9,132740,100
2024-10-07 13:18:19.649297,Harris,81.4,603790,Trump,17.9,132740,100
