,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.356890,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:17:06.781475,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:17:16.458334,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:17:26.008917,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:17:34.821525,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:17:44.059390,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:17:52.781634,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:18:01.640810,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:18:10.696761,Trump,79.9,7239,Harris,19.0,1726,100
2024-10-07 13:18:19.655288,Trump,79.9,7239,Harris,19.0,1726,100
