,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.359421,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:17:06.789475,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:17:16.464345,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:17:26.023927,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:17:34.825923,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:17:44.066391,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:17:52.781634,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:18:01.642036,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:18:10.702760,Trump,73.1,13983,Harris,25.6,4910,100
2024-10-07 13:18:19.663207,Trump,73.1,13983,Harris,25.6,4910,100
