,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.359421,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:17:06.792998,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:17:16.464345,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:17:26.028844,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:17:34.825923,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:17:44.069391,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:17:52.790590,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:18:01.642036,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:18:10.706762,Trump,77.6,31466,Harris,21.3,8654,100
2024-10-07 13:18:19.666205,Trump,77.6,31466,Harris,21.3,8654,100
