,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:16:58.393763,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:17:06.826284,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:17:16.492600,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:17:26.058866,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:17:34.859241,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:17:44.101725,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:17:52.808863,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:18:01.682799,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:18:10.739235,Trump,63.6,130218,Harris,35.2,72129,100
2024-10-07 13:18:19.696272,Trump,63.6,130218,Harris,35.2,72129,100
