,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:02:29.708806,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:02:42.855530,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:02:55.419706,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:03:11.296056,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:03:24.332159,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:03:40.228270,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:04:15.887755,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:04:30.205869,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
2024-08-13 11:04:46.843257,Texas,40,Trump,52.1,5890347,Biden,46.5,5259126,99
