,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:02:29.708806,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:02:42.855530,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:02:55.419706,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:03:11.296056,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:03:24.332159,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:03:40.228270,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:04:15.887755,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:04:30.205869,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
2024-08-13 11:04:46.843257,Utah,6,Trump,58.1,865140,Biden,37.6,560282,99
