,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:02:29.708806,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:02:42.855530,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:02:55.419706,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:03:11.296056,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:03:24.332159,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:03:40.228270,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:04:15.887755,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:04:30.205869,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
2024-08-13 11:04:46.843257,Virginia,13,Biden,54.1,2413568,Trump,44.0,1962430,99
